formula,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,chi_diff,rX,rA,rB,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t,tau,t_jess,t_sisso_14,t_sisso_82,t_sisso_11,t_sisso_12,t_sisso_88,t_sisso_17,bandgap,bandgap_sigma
BaPbS3,Ba,Pb,S,2.0,4.0,-2.0,0.89,2.33,2.58,0.904,184.4,173.0,78.07,-1.69,-0.25,-2.55,-1.11,2.2159600358652494,0.4233731019522776,0.938177874186551,0.6627450980392157,0.2252252252252252,-3.22934977,-3.496077730000001,-7.00838179000003,-2.0224315294266337,-3.4960778500144083,0.8145175879610062,0.1815487042226235,-0.8830451593257576,-2.847077729734469,5.363406047114364,6.576348032711487,11.769320157021456,219.67,103.96,74.72999999999999,266.14000000000004,140.49,84.92999999999999,131.01,56.76,273.21,0.962855184187708,3.931920664780769,2.8332863372827,0.9081003429063448,0.5640394366057672,1.5271039551563703,0.5914623822659718,1.7485524903735028,0.3695569950338959,2.1131181716918945,0.18608029186725616
BaSnS3,Ba,Sn,S,2.0,4.0,-2.0,0.89,1.96,2.58,0.9780000000000002,184.4,173.0,86.0,-1.69,-0.6200000000000001,-2.55,-1.48,2.011627906976744,0.4663774403470715,0.938177874186551,0.6627450980392157,0.4189189189189189,-3.22934977,-3.6934392700000016,-7.00838179000003,-2.0224315294266337,-3.693439396789498,0.8145175879610062,0.1815487042226235,-1.0130803347838755,-2.847077729734469,5.363406047114364,6.875250052003975,11.769320157021456,219.67,106.59,74.72999999999999,266.14000000000004,135.54,84.92999999999999,131.01,46.940000000000005,273.21,0.9346176042668186,3.900375522639835,1.4785993369969428,0.8113589067850363,0.4510525926125606,1.5942086044552926,0.3657079309602817,0.5973025432630985,0.3653644751632077,2.14194655418396,0.28226107358932495
BaSnSe3,Ba,Sn,Se,2.0,4.0,-2.0,0.89,1.96,2.55,0.96,198.14,173.0,86.0,-1.6599999999999997,-0.5899999999999999,-2.55,-1.48,2.011627906976744,0.4340365398203291,0.8731200161501969,0.6509803921568627,0.3986486486486486,-3.22934977,-3.6934392700000016,-6.510488250000024,-2.0224315294266337,-3.693439396789498,-0.2111875472497096,0.1815487042226235,-1.0130803347838755,-2.730814399751447,5.363406047114364,6.875250052003975,10.84576444731508,219.67,106.59,79.97,266.14000000000004,135.54,95.78,131.01,46.940000000000005,23.97,0.9236160760217348,4.0601429645003,1.508235277879826,0.9064512563033872,0.5562970170110313,1.5434752653949877,0.5421525978584285,0.4316183190555478,0.3668658980452993,1.514944076538086,0.161714568734169
BaGeS3,Ba,Ge,S,2.0,4.0,-2.0,0.89,2.01,2.58,0.9680000000000002,184.4,173.0,61.6,-1.69,-0.5700000000000003,-2.55,-1.4300000000000002,2.8084415584415585,0.334056399132321,0.938177874186551,0.6627450980392157,0.3986013986013987,-3.22934977,-3.8949312500000026,-7.00838179000003,-2.0224315294266337,-3.894931383706377,0.8145175879610062,0.1815487042226235,-0.9159627234370702,-2.847077729734469,5.363406047114364,7.445211421588107,11.769320157021456,219.67,92.2,74.72999999999999,266.14000000000004,117.22,84.92999999999999,131.01,26.66,273.21,1.0273195129827144,4.432903584801062,1.7080998053149812,1.14504433249907,0.8436130378602571,1.3966219096171992,1.096356480318567,0.8314661022737551,0.2977207330566161,2.847365140914917,0.2946567237377167
BaGeSe3,Ba,Ge,Se,2.0,4.0,-2.0,0.89,2.01,2.55,0.95,198.14,173.0,61.6,-1.6599999999999997,-0.54,-2.55,-1.4300000000000002,2.8084415584415585,0.3108912889875845,0.8731200161501969,0.6509803921568627,0.3776223776223776,-3.22934977,-3.8949312500000026,-6.510488250000024,-2.0224315294266337,-3.894931383706377,-0.2111875472497096,0.1815487042226235,-0.9159627234370702,-2.730814399751447,5.363406047114364,7.445211421588107,10.84576444731508,219.67,92.2,79.97,266.14000000000004,117.22,95.78,131.01,26.66,23.97,1.0103806569677976,4.65595553285301,1.7417876568701214,1.2401366820174209,0.9418138731912252,1.364640861632497,1.2452737760706958,1.0474829673836412,0.2979038979464453,1.9674396514892578,0.18337157368659973
BaPrS3,Ba,Pr,S,2.0,4.0,-2.0,0.89,1.13,2.58,1.144,184.4,173.0,84.98,-1.69,-1.4500000000000002,-2.55,-2.31,2.035773123087785,0.4608459869848156,0.938177874186551,0.6627450980392157,0.6277056277056278,-3.22934977,-2.320982129999998,-7.00838179000003,-2.0224315294266337,-2.320982209675374,0.8145175879610062,0.1815487042226235,0.1152585549847216,-2.847077729734469,5.363406047114364,5.700078313684422,11.769320157021456,219.67,201.97,74.72999999999999,266.14000000000004,271.35,84.92999999999999,131.01,117.98,273.21,0.9381565082550588,3.897430640771342,0.9905258127320956,0.8232902683518785,0.4649109482276926,1.5854146579847632,0.394233652613892,1.611776371914834,0.3636526564615197,2.350874662399292,0.11130139976739883
BaPrSe3,Ba,Pr,Se,2.0,4.0,-2.0,0.89,1.13,2.55,1.126,198.14,173.0,84.98,-1.6599999999999997,-1.42,-2.55,-2.31,2.035773123087785,0.4288886645805996,0.8731200161501969,0.6509803921568627,0.6147186147186147,-3.22934977,-2.320982129999998,-6.510488250000024,-2.0224315294266337,-2.320982209675374,-0.2111875472497096,0.1815487042226235,0.1152585549847216,-2.730814399751447,5.363406047114364,5.700078313684422,10.84576444731508,219.67,201.97,79.97,266.14000000000004,271.35,95.78,131.01,117.98,23.97,0.9269435993247236,4.059115743148372,0.9816232880338536,0.9183826178702296,0.5699457651046901,1.5355500637696229,0.5695275851444589,1.5367247225563123,0.3629649773186848,1.9482131004333496,0.08619226515293121
BaCeS3,Ba,Ce,S,2.0,4.0,-2.0,0.89,1.12,2.58,1.146,184.4,173.0,86.8,-1.69,-1.46,-2.55,-2.32,1.9930875576036864,0.4707158351409978,0.938177874186551,0.6627450980392157,0.6293103448275862,-3.22934977,-2.5303330600000007,-7.00838179000003,-2.0224315294266337,-2.5303331468620374,0.8145175879610062,0.1815487042226235,0.0869328039854952,-2.847077729734469,5.363406047114364,5.700526061695872,11.769320157021456,219.67,204.28,74.72999999999999,266.14000000000004,257.54,84.92999999999999,131.01,118.68,273.21,0.9318606201834356,3.904128135666628,0.9813696265418248,0.8020995813722397,0.4403160172639592,1.6011399353185616,0.3434334211657067,1.6072847491893103,0.3662489199460063,2.150684118270874,0.09607388824224472
BaCeSe3,Ba,Ce,Se,2.0,4.0,-2.0,0.89,1.12,2.55,1.128,198.14,173.0,86.8,-1.6599999999999997,-1.4299999999999995,-2.55,-2.32,1.9930875576036864,0.43807408902796,0.8731200161501969,0.6509803921568627,0.6163793103448275,-3.22934977,-2.5303330600000007,-6.510488250000024,-2.0224315294266337,-2.5303331468620374,-0.2111875472497096,0.1815487042226235,0.0869328039854952,-2.730814399751447,5.363406047114364,5.700526061695872,10.84576444731508,219.67,204.28,79.97,266.14000000000004,257.54,95.78,131.01,118.68,23.97,0.921022923565718,4.062423066542204,0.9727254855988738,0.8971919308905905,0.5457193323602023,1.54971972039396,0.5207806248227391,1.5915281929411926,0.3656072749351096,1.7776246070861816,0.08981963247060776
BaSiS3,Ba,Si,S,2.0,4.0,-2.0,0.89,1.9,2.58,0.9900000000000002,184.4,173.0,40.12,-1.69,-0.6800000000000002,-2.55,-1.54,4.312063808574277,0.2175704989154012,0.938177874186551,0.6627450980392157,0.4415584415584416,-3.22934977,-4.081062869999999,-7.00838179000003,-2.0224315294266337,-4.081063010095956,0.8145175879610062,0.1815487042226235,-1.04470884086356,-2.847077729734469,5.363406047114364,7.740621582722126,11.769320157021456,219.67,94.66,74.72999999999999,266.14000000000004,114.05,84.92999999999999,131.01,487.4,273.21,1.1256039559671642,6.497422171792051,1.6894445535179594,1.5738312399448096,0.7332649738510442,1.2430530603112946,1.8746010884150657,2.008396065688015,0.2128208490119427,3.596622943878174,0.8952247500419617
